# time,x_gt,y_gt,yaw_gt,speed_gt,omega_gt,x_ekf,y_ekf,tracking_error,localization_error
3.092200000000000060e+01,2.135018417692915449e+00,1.632502862429576318e+00,-2.836056672876474671e-01,5.611157076794676818e-03,2.089098928514513884e-02,2.072714275537780093e+00,1.658162465253969708e+00,1.552144460621807500e-03,6.738116462924138850e-02
3.094200000000000017e+01,2.135172784347462827e+00,1.632468145020447903e+00,-2.828836494211988684e-01,1.162990750648716307e-02,5.065776441474717506e-02,2.072999932072506102e+00,1.657937462582168342e+00,1.522494771094027276e-03,6.718742216414730350e-02
3.096199999999999974e+01,2.135441078859045216e+00,1.632401982586585198e+00,-2.818283296613864897e-01,1.731349075554305256e-02,5.498817844418472239e-02,2.073351648386893231e+00,1.657693119956508809e+00,1.476303067196423329e-03,6.704281472179209056e-02
3.098199999999999932e+01,2.135823429833941578e+00,1.632299865456492416e+00,-2.807419433558028810e-01,2.326909969690705432e-02,5.602674471287161923e-02,2.073703364701280805e+00,1.657448777330849055e+00,1.417654519370186795e-03,6.701768617723363741e-02
3.100199999999999889e+01,2.136321575951641627e+00,1.632162956506726381e+00,-2.796352679418763199e-01,2.924986617818012627e-02,5.682654449140308456e-02,2.074055081015667934e+00,1.657204434705189300e+00,1.370927120496117724e-03,6.711327753861921763e-02
3.102199999999999847e+01,2.136935765963942302e+00,1.631991903747376904e+00,-2.785266263103829409e-01,3.522630272057656470e-02,5.628671371037043819e-02,2.074406797330055063e+00,1.656960092079529545e+00,1.366760318008567680e-03,6.732965429145984504e-02
3.104200000000000159e+01,2.137665751993093277e+00,1.631787519123046648e+00,-2.774168974216630890e-01,4.122134988924590349e-02,5.669512370392634087e-02,2.075952229006722494e+00,1.657266242341945084e+00,1.362848837539782591e-03,6.676619096709462964e-02
3.106200000000000117e+01,2.138511664479849195e+00,1.631550376038616301e+00,-2.762988288082272592e-01,4.721356307030014771e-02,5.703882337425558030e-02,2.077796089523959111e+00,1.657710015826379557e+00,1.358605497064802221e-03,6.611132880263285994e-02
3.108200000000000074e+01,2.139473499966903169e+00,1.631280814987432937e+00,-2.751735776188025673e-01,5.320589447881622636e-02,5.735567661393613931e-02,2.079639950041196172e+00,1.658153789310813808e+00,1.353703839768874168e-03,6.559123756796451932e-02
3.110200000000000031e+01,2.140551304431722368e+00,1.630979140363760793e+00,-2.740414758962224639e-01,5.919797150962341492e-02,5.766475109615201711e-02,2.081483810558432790e+00,1.658597562795248059e+00,1.347838546558988463e-03,6.520541457636153115e-02
3.112199999999999989e+01,2.141744999273634598e+00,1.630645319355273459e+00,-2.729242479325456605e-01,6.516326283845565170e-02,5.586742365241155472e-02,2.083327671075669851e+00,1.659041336279682533e+00,1.341062750843925516e-03,6.495319861992981947e-02
3.114199999999999946e+01,2.143054760040105755e+00,1.630279812066321110e+00,-2.718220262747107485e-01,7.116581462050071416e-02,5.607283381784750748e-02,2.084864250528282614e+00,1.658739688174199589e+00,1.332885830853851664e-03,6.477731042055830113e-02
3.116199999999999903e+01,2.144480687901914262e+00,1.629883158489129569e+00,-2.707142982618096494e-01,7.715901628142692037e-02,5.631106529550272688e-02,2.086324009714739969e+00,1.658251684671237181e+00,1.322760769950153629e-03,6.470681954409039649e-02
3.118199999999999861e+01,2.146022785717409231e+00,1.629455576921080340e+00,-2.696012854347318299e-01,8.315103596719942980e-02,5.655988753324503460e-02,2.087783768901197323e+00,1.657763681168274772e+00,1.310476876393029417e-03,6.475439634332977312e-02
3.120200000000000173e+01,2.147681110604693355e+00,1.628997318869394029e+00,-2.684827167016311522e-01,8.914221244623823925e-02,5.681780107494083937e-02,2.089243528087654678e+00,1.657275677665312363e+00,1.295776626355775408e-03,6.492007876324855375e-02
3.122200000000000131e+01,2.149455360598953035e+00,1.628507851410252893e+00,-2.674068247868635062e-01,9.503418230557790503e-02,5.133319146962356250e-02,2.090703287274111588e+00,1.656787674162349955e+00,1.279255373997367122e-03,6.520394539333929096e-02
3.124200000000000088e+01,2.151345702469472876e+00,1.627987700128256332e+00,-2.664006766085072475e-01,1.010735259023929633e-01,5.098845154989955358e-02,2.092634290742741765e+00,1.656177581709290969e+00,1.260361944423476046e-03,6.512832940048819685e-02
3.126200000000000045e+01,2.153352515674638923e+00,1.627438012312226956e+00,-2.653938788031511842e-01,1.070745202930353662e-01,5.100258392994791445e-02,2.094683105281915036e+00,1.655536967018707895e+00,1.237888953967130039e-03,6.505114120003373246e-02
3.128200000000000003e+01,2.155475710382402266e+00,1.626858909992692004e+00,-2.643869952812439306e-01,1.130741441953626442e-01,5.101890449445731224e-02,2.096731919821088308e+00,1.654896352328124598e+00,1.211743728656227304e-03,6.509171300729629794e-02
3.130199999999999960e+01,2.157715325897330949e+00,1.626250564132257326e+00,-2.633793496846374427e-01,1.190722048048447473e-01,5.106589769160225362e-02,2.098780734360261579e+00,1.654255737637541523e+00,1.181751084721325423e-03,6.525010208959278191e-02
3.132199999999999918e+01,2.160071187063531628e+00,1.625612924382305424e+00,-2.623876228604482552e-01,1.250345038161264355e-01,4.911899763603653352e-02,2.100829548899434851e+00,1.653615122946958449e+00,1.148007530075564105e-03,6.552629103512591646e-02
3.134199999999999875e+01,2.162543575247283911e+00,1.624946276369072518e+00,-2.614205812409980956e-01,1.310488099975147536e-01,4.897059827444542879e-02,2.102660011596149570e+00,1.652503651808221452e+00,1.110161158965989594e-03,6.592002834233058606e-02
3.136199999999999832e+01,2.165132597600989417e+00,1.624251178426488362e+00,-2.604543341533091527e-01,1.370515491681329745e-01,4.892093273309246898e-02,2.104435886332249428e+00,1.651274466557445919e+00,1.067645675592372289e-03,6.644056637514117458e-02
3.138200000000000145e+01,2.167838270713020155e+00,1.623527835199012337e+00,-2.594893601921821058e-01,1.430545207713283806e-01,4.886064753027392904e-02,2.106211761068350174e+00,1.650045281306670164e+00,1.020259746367866956e-03,6.708950468633033404e-02
3.140200000000000102e+01,2.170660648143399207e+00,1.622776468604522737e+00,-2.585256906794207721e-01,1.490576618268120990e-01,4.879779949266058181e-02,2.107987635804450033e+00,1.648816096055894631e+00,9.677752764918013881e-04,6.786728721147115839e-02
